"타임스탬프","연령 및 성별을 선택 해 주세요.","마카롱에 대한 본인의 선호도는?","1. 평소에 마카롱가게에 대한 정보를 어떻게 얻습니까? (복수 선택 가능)","2. 평소 마카롱을 구매하는 방법은? (복수 선택 가능)","3. 마카롱 구매시 불편했던 점은 무엇입니까? (복수 선택 가능)","4. 마카롱 관련 정보 사이트가 필요하다고 생각하십니까?","4-1. 4번에서 필요하다고 답하신 경우, 이유는 무엇입니까?","4-2. 4번에서 필요없다고 답하신 경우,  이유는 무엇입니까?","5. 마카롱 관련 정보 사이트가 생길 시 , 필요하다고 생각하는 서비스는 무엇입니까? (복수 선택 가능)","5-1. 4번의 보기이 외에 바라는 서비스를 작성해주세요. (없으면 'X'기입)","6. 마카롱을 구매하면서 매장에 바라는 점이 있다면 작성해주세요. (없으면 X 기입)","* 평소 좋아하는 맛의 마카롱은? (복수선택 가능)","* 평소 구매하는 마카롱의 개당 가격은 얼마입니까?","* 본인 취향의 마카롱은? (복수 선택 가능)","* 마카롱을 얼마나 자주 구매하십니까?","* 한 번 구매할 때,  몇개씩 구매하십니까?","응답해주셔서 감사합니다 ♥♥♥ 기타 하실 말씀이 있으시면 작성해주세요:)"
"2018/10/11 2:04:11 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","","가격을 미리 알 수 없음","필요","맛집인지아닌지를 알 수 있어야 편할것같아요","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","바닐라;카라멜 / 크림브륄레;크림치즈","","","주 1회","1~2개",""
"2018/10/11 2:04:37 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","맛있는 마카롱의 정보를 알아서 나쁠게 없음",".","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","주 1회","10개 이내",""
"2018/10/11 2:04:38 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","품절 여부를 알 수 없음;예약시 불편함","불필요","","요즘 SNS 잘 되어있어서요","매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라","","","월 1~2회","5개 이내",""
"2018/10/11 2:04:44 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","가격을 미리 알 수 없음","필요","너무 뒤죽박죽이어서 정리된게 필요","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","x","","초콜렛 / 쇼콜라;녹차 ,인절미","","","주 1회","5개 이내",""
"2018/10/11 2:04:46 오전 GMT+9","20대 / 여","","블로그 / 네이버 지도 등;커뮤니티","","품절 여부를 알 수 없음;예약시 불편함","필요","나는 SNS를 안해서 예약이 불편함","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","월 1~2회","10개 이내",""
"2018/10/11 2:05:12 오전 GMT+9","20대 / 여","","블로그 / 네이버 지도 등","","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","후기","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","_","","카라멜 / 크림브륄레","","","월 1~2회","5개 이내",""
"2018/10/11 2:05:25 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","","종류를 알기 불편","불필요","","현재 sns를 통해 많은 가게들이 홍보 및 정보 게시를 하고 있는데 그것과 차이가 없을 것 같다","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱;오레오 / 뽀또 등 기성 과자가 들어간 마카롱","","","주 1회","10개 이내",""
"2018/10/11 2:05:51 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","","* 불편했던 적이 없다.","불필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","주 1회","10개 이상",""
"2018/10/11 2:06:03 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","가격이 넘 비싸요ㅠㅠㅠ","불필요","","제가̇ⷦⷪ 아는 곳은 다 정보가̇ⷦⷪ 잇어서욘","구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","월 1~2회","5개 이내",""
"2018/10/11 2:06:18 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","배송 불가, 예약 불가인 경우 불편","불필요","","Sns로도 충분","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","카라멜 / 크림브륄레","","","끌릴 때마다","10개 이상",""
"2018/10/11 2:07:01 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","","품절 여부를 알 수 없음","필요"," 그 가게의 주 메뉴가 무엇인지 궁금해요 , 품절 여부 , 남은 수량이 궁금해요 , 보통 거의 다 에스엔에스 게시물로 올라오는데 에스엔에스 하지 않는 사람도 많으니깐요 !","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부","가게에서 제일 핫 한 메뉴 , 주 메뉴","","맛을 가리지 않고 좋아한다.","","","월 1~2회","5개 이내",""
"2018/10/11 2:07:04 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","","가격을 미리 알 수 없음;예약시 불편함","불필요","","","매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","×","","맛을 가리지 않고 좋아한다.;카라멜 / 크림브륄레","","","주 1회","5개 이내",""
